"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","adam_corr","adam_corr_after_epoch","augmult_num","batch_size","beta_1","beta_2","classifier_model","clipping_only","cosine_lr","data_dir","dataset","debug","delta","dict_path","disable_jit","dp_l2_norm_clip","dp_noise_multiplier","dp_sampling","elu_alpha","ema","epochs","eps","eps_root","eval_every","exp_entity","exp_group","exp_name","exp_proj","gamma_decay","imp_max","imp_min","learning_rate","lr_decay","n_data_workers","negative_slope","normalization","num_classes","optimizer","out_path","priv_accountant","progress_bar","resnet_depth","resnet_width","seed","sgd_momentum","target_eps","tmp_bias","trainer","weight_decay","weight_standardization","best_test_accuracy","dp_epsilon","epoch","epoch_step","loss","perc_corr1","perc_corr2","step","steps_per_epoch","test_accuracy","test_loss","test_step","update_norm"
"1.0_AdamW_wd0.01_lr0.0015_c1.0_e1e-08_trial1","finished","-","","","2025-04-30T09:07:40.000Z","1026","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.01_lr0.0015_c1.0_e1e-08_trial1","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1024","false","1","0","DPAdamW","0.01","false","0.5317925347222222","0.9770437718268348","69","47","1.6233714818954468","","","3359","48","0.5317925347222222","1.5467529826694064","3359","2.911245584487915"
"1.0_AdamW_wd1e-05_lr0.0015_c1.0_e5e-08_trial3","finished","-","","","2025-04-30T13:38:42.000Z","914","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd1e-05_lr0.0015_c1.0_e5e-08_trial3","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.00001","false","0.5311414930555556","0.9770437718268348","69","47","1.5680630207061768","","","3359","48","0.5311414930555556","1.5199117792977228","3359","2.905337333679199"
"1.0_AdamW_wd0.001_lr0.0015_c1.0_e5e-08_trial3","finished","-","","","2025-04-30T13:43:03.000Z","913","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.001_lr0.0015_c1.0_e5e-08_trial3","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.001","false","0.5308159722222222","0.9770437718268348","69","47","1.527428150177002","","","3359","48","0.5308159722222222","1.5001799530453153","3359","2.9052982330322266"
"1.0_AdamW_wd1e-05_lr0.0015_c1.0_e1e-08_trial3","finished","-","","","2025-04-30T15:15:37.000Z","912","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd1e-05_lr0.0015_c1.0_e1e-08_trial3","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.00001","false","0.5304904513888888","0.9770437718268348","69","47","1.601625919342041","","","3359","48","0.5304904513888888","1.5286866029103596","3359","2.9053709506988525"
"1.0_AdamW_wd0.0001_lr0.0015_c1.0_e5e-08_trial1","finished","-","","","2025-04-30T07:11:37.000Z","915","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.0001_lr0.0015_c1.0_e5e-08_trial1","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1024","false","1","0","DPAdamW","0.0001","false","0.5301649305555556","0.9770437718268348","69","47","1.5414766073226929","","","3359","48","0.5301649305555556","1.5715942117902968","3359","2.911389112472534"
"1.0_AdamW_wd0.001_lr0.0015_c1.0_e1e-08_trial3","finished","-","","","2025-04-30T15:19:17.000Z","904","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.001_lr0.0015_c1.0_e1e-08_trial3","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.001","false","0.5296223958333334","0.9770437718268348","69","47","1.5721251964569092","","","3359","48","0.5296223958333334","1.527530206574334","3359","2.9055404663085938"
"1.0_AdamW_wd0.0001_lr0.0015_c1.0_e1e-08_trial3","finished","-","","","2025-04-30T15:16:32.000Z","909","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.0001_lr0.0015_c1.0_e1e-08_trial3","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.0001","false","0.5288628472222222","0.9770437718268348","69","47","1.6519858837127686","","","3359","48","0.5288628472222222","1.523886217011346","3359","2.9054112434387207"
"1.0_AdamW_wd0.01_lr0.0015_c1.0_e1e-08_trial3","finished","-","","","2025-04-30T15:41:25.000Z","916","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.01_lr0.0015_c1.0_e1e-08_trial3","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1026","false","1","0","DPAdamW","0.01","false","0.5287543402777778","0.9770437718268348","69","47","1.6519922018051147","","","3359","48","0.5287543402777778","1.499631497595045","3359","2.9052822589874268"
"1.0_AdamW_wd0.001_lr0.002_c1.0_e5e-08_trial4","finished","-","","","2025-04-30T17:11:24.000Z","906","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd0.001_lr0.002_c1.0_e5e-08_trial4","cifar_1.0_trials_2","1","1","0","0.002","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1027","false","1","0","DPAdamW","0.001","false","0.5285373263888888","0.9770437718268348","69","47","1.572604417800903","","","3359","48","0.5285373263888888","1.6579309304555256","3359","2.911144256591797"
"1.0_AdamW_wd1e-05_lr0.0015_c1.0_e1e-08_trial1","finished","-","","","2025-04-30T08:48:29.000Z","911","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","1e-8","1e-8","500","cs2080","jax_final_sweep","1.0_AdamW_wd1e-05_lr0.0015_c1.0_e1e-08_trial1","cifar_1.0_trials_2","1","1","0","0.0015","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1024","false","1","0","DPAdamW","0.00001","false","0.5284288194444444","0.9770437718268348","69","47","1.515246868133545","","","3359","48","0.5284288194444444","1.5765981541739569","3359","2.9112722873687744"
