"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","adam_corr","adam_corr_after_epoch","augmult_num","batch_size","beta_1","beta_2","classifier_model","clipping_only","cosine_lr","data_dir","dataset","debug","delta","dict_path","disable_jit","dp_l2_norm_clip","dp_noise_multiplier","dp_sampling","elu_alpha","ema","epochs","eps","eps_root","eval_every","exp_entity","exp_group","exp_name","exp_proj","gamma_decay","imp_max","imp_min","learning_rate","lr_decay","n_data_workers","negative_slope","normalization","num_classes","optimizer","out_path","priv_accountant","progress_bar","resnet_depth","resnet_width","seed","sgd_momentum","target_eps","tmp_bias","trainer","weight_decay","weight_standardization","best_test_accuracy","dp_epsilon","epoch","epoch_step","loss","step","steps_per_epoch","test_accuracy","test_loss","test_step","update_norm"
"7.0_AdamWBC_wd0.01_lr0.0004_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T22:58:57.000Z","1277","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.01_lr0.0004_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0004","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.01","false","0.6221788194444444","6.859549880908613","69","47","1.7173640727996826","3359","48","0.6221788194444444","1.5389015542136295","3359","0.6678042411804199"
"7.0_AdamWBC_wd0.0001_lr0.0003_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T22:36:01.000Z","1354","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.0001_lr0.0003_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.0001","false","0.6216362847222222","6.859549880908613","69","47","1.4326403141021729","3359","48","0.6216362847222222","1.519648101594713","3359","0.6669960618019104"
"7.0_AdamW_wd0.0001_lr0.0003_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T22:59:36.000Z","1381","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","7.0_AdamW_wd0.0001_lr0.0003_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.0001","false","0.6208767361111112","6.859549880908613","69","47","1.6475577354431152","3359","48","0.6208767361111112","1.518996172481113","3359","0.6669945120811462"
"7.0_AdamWBC_wd0.001_lr0.0003_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T22:14:19.000Z","1288","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.001_lr0.0003_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.001","false","0.6183810763888888","6.859549880908613","69","47","1.695784568786621","3359","48","0.6183810763888888","1.5196432405047946","3359","0.6670394539833069"
"7.0_AdamW_wd0.001_lr0.0003_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T22:36:35.000Z","1293","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","7.0_AdamW_wd0.001_lr0.0003_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.001","false","0.6171875","6.859549880908613","69","47","1.5925683975219729","3359","48","0.6171875","1.5212941567103069","3359","0.6675940752029419"
"7.0_AdamW_wd0.01_lr0.0003_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T22:36:35.000Z","1282","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","7.0_AdamW_wd0.01_lr0.0003_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.01","false","0.6169704861111112","6.859549880908613","69","47","1.5122311115264893","3359","48","0.6169704861111112","1.5358807378345063","3359","0.667786717414856"
"7.0_AdamWBC_wd0.001_lr0.0004_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T22:58:57.000Z","1283","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","500","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.001_lr0.0004_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0004","1","2","0.2","none","10","adam","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.001","false","0.6169704861111112","6.859549880908613","69","47","1.4961862564086914","3359","48","0.6169704861111112","1.5359320905473497","3359","0.6673105955123901"
"7.0_AdamWBC_wd0.01_lr0.0003_c1.0_e5e-8_trial2","finished","-","","","2025-04-29T22:14:19.000Z","1276","","tanh","true","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamWBC_wd0.01_lr0.0003_c1.0_e5e-8_trial2","cifar_7.0_trials","1","1","0","0.0003","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1025","false","7","0","DPAdamW","0.01","false","0.6161024305555556","6.859549880908613","69","47","1.6179897785186768","3359","48","0.6161024305555556","1.5262977414660983","3359","0.6671761274337769"
"7.0_AdamW_wd0.0001_lr0.0004_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T19:49:12.000Z","1365","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.0001_lr0.0004_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0004","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.0001","false","0.6155598958333334","6.437034549840683","69","47","1.465314865112305","3359","48","0.6155598958333334","1.5042966206868489","3000","0.666652500629425"
"7.0_AdamW_wd0.01_lr0.0004_c1.0_e5e-8_trial1","finished","-","","","2025-04-29T19:38:27.000Z","1281","","tanh","false","-1","0","1024","0.9","0.999","CNN5","false","false","/tmp/data","CIFAR10","false","0.00001","/tmp","false","1","1","false","1","false","70","5e-8","5e-8","1000","cs2080","jax_final_sweep","7.0_AdamW_wd0.01_lr0.0004_c1.0_e5e-8_trial1","cifar_7.0_trials","1","1","0","0.0004","1","2","0.2","none","10","sgd","$HOME/tmp","prv","true","16","4","1024","false","7","0","DPAdamW","0.01","false","0.6149088541666666","6.437034549840683","69","47","1.6817216873168943","3359","48","0.6149088541666666","1.5233108467525909","3000","0.6671651005744934"
